from,to,value,count
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x8d99389a71fbca8a6073ac264fbbf1f1cdbfa1ab,8215.8,5
0xb6b090e12c97255e5a6b434fbefa1d76db300d93,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,8171.5,14
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xd57a279ebd52b9625ae96f1c1be6de594b2a867d,8166.7,2
0x19bcc9d60ea5c4bfb4dc9500c8ae4a57363b898d,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,8135.0,4
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xfa83c36c601819ed5ea508f1e0e9225c074a9c4f,8089.6,7
0x388ebb215ac4509e665635527af29e9e1e15b4d7,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,8030.29461592,2
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xeef6a3c00c49b9c5c7afa0b4912c68afe282032e,8012.0,6
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xd1ac7a5358802da39e25447123c1e4ea6b5f847c,8008.2,3
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xfea47143d1862a8c6419d5043a33cd1e3cbe9265,8000.0,1
0x122c92fc88a5f4beae2f08e925aa40f22f855016,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,8000.0,1
0x8198597e386db36bd736110df685abebedbacc42,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,8000.0,1
0x4d5657187b651a028c718e0928992f6aaa320039,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,8000.0,2
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x631ef43bf1ac99b38978cedc1d7b7ed687796d5b,7964.6,2
0x5f3b9bc3115ca45aa3153bd22fddf17177a7b26d,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,7956.0,7
0x488cc020a6ee641469002fc9a7a8381b18965307,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,7907.3099999999995,9
0x97fe478978590e2c49425f365bdbcc42306580c1,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,7887.1,8
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x4e771da42fee9019ab108543c85f4e6a3923a296,7880.0,6
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xe8129c7b5dabd86e8af8d50ee878f3ebdb4785ee,7874.0,4
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xb2e6b33923748bf9549e00de14081b73614984e1,7840.0,3
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x3a92d798e9bc8e89a611822e5ae6d96bd80bddfc,7837.0,1
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xbc7302ffb9ff52a472a0459c35a2221135df717a,7741.0,5
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x9b86299deb615a33e24dd067383931098217142d,7734.4,20
